Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,AP_NETPAL_CASTRO,192.168.115.70,UbiquitiNe:E8:8E:80,,WDS,,
up,PM CPV (UBS Santa Rosa),177.93.247.47,Routerboar:F3:F8:57,,PM CPV,,
up,AP_NETPAL_FAZENDAQUILOMBO,192.168.115.38,UbiquitiNe:94:E7:A5,,WDS,,
up,WDS Fazenda Quilombo,192.168.115.46,UbiquitiNe:B6:05:57,,WDS,,
up,OLT CPV,192.168.115.42,ztecorpora:DB:FF:3C,,DC Capivari do Sul,,
up,RB VPN JDF,177.72.104.50,CC:2D:E0:48:90:2D,,DC Capivari do Sul,,
up,Gerador CPV,192.168.6.203,DeepSeaEle:21:B7:B8,,Netpal,,
up,Bridge Pantano,192.168.20.166,B8:69:F4:37:07:57,,Pantano,,
up,Pioneira CPV,177.93.244.140,00:8D:8C:4B:6C:CB,,Last Mile,,
unknown,CPV,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
unknown,PWW,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
unknown,FSB / BCP,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
unknown,CASCA / SOLIDAO,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
unknown,MST,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
unknown,TVR,177.72.104.1,"00:C9:FF:F7:11:00, 00:CA:FF:F7:65:72, 00:CA:FF:F7:6C:69, C4:AD:34:F9:F1:70, C4:AD:34:F9:F1:76",,CEEE,,
up,NETPAL_VALIM - 5.8,192.168.20.154,UbiquitiNe:7E:BC:80,,Valim,,
up,Patch Panel Valim,192.168.20.157,MicrochipT:A4:E0:86,,Valim,,
up,Servidor Proxmox BCP,192.168.83.50,A8:A1:59:20:31:40,,DC Bacupari,,
up,Gerador Serraria,192.168.20.101,ZioncomEle:54:09:0B,,CEEE,,UC 62786610
up,Gerador Pantano,192.168.20.173,E0:B6:68:C2:1D:F5,,CEEE,,"5981640-6, Titular: Netpal"
